epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,745.98,1.9511,1.58112,2.03595,0.00111,0.06432,0.00243,0.00026,4.38823,3.18131,5.89773,0.067126,0.000332061,0.000332061
2,1182.39,1.50581,1.06686,1.59465,0.93572,0.8082,0.92012,0.52443,1.64244,1.56441,1.75487,0.0341227,0.000662101,0.000662101
3,1660.68,1.25241,0.89865,1.38583,0.9087,0.88003,0.93529,0.55482,1.4557,0.83776,1.50326,0.00111607,0.00098884,0.00098884
4,2079.2,1.08679,0.79977,1.2738,0.94396,0.90631,0.95518,0.66642,1.03711,0.73193,1.28061,0.00098515,0.00098515,0.00098515
5,2430.09,1.03848,0.76665,1.2455,0.94735,0.90986,0.96019,0.70447,0.94558,0.70387,1.22765,0.0009802,0.0009802,0.0009802
6,2781,1.01244,0.73825,1.22966,0.95122,0.90624,0.95996,0.67663,1.0626,0.70143,1.26976,0.00097525,0.00097525,0.00097525
7,3134.73,0.98752,0.71655,1.21821,0.93672,0.93766,0.96649,0.72402,0.93527,0.65201,1.20379,0.0009703,0.0009703,0.0009703
8,3490.97,0.96938,0.69831,1.20455,0.93798,0.94465,0.96836,0.73593,0.90325,0.63404,1.19265,0.00096535,0.00096535,0.00096535
9,3846.3,0.95741,0.68551,1.19362,0.9392,0.94832,0.97113,0.7461,0.87398,0.614,1.17745,0.0009604,0.0009604,0.0009604
10,4200.7,0.92902,0.66656,1.17493,0.93928,0.94896,0.97201,0.7511,0.86965,0.60379,1.17101,0.00095545,0.00095545,0.00095545
11,4558.54,0.92381,0.65747,1.17494,0.94112,0.95439,0.97482,0.76094,0.84885,0.60523,1.16508,0.0009505,0.0009505,0.0009505
12,4916.83,0.90633,0.64292,1.16539,0.94403,0.95533,0.97588,0.76071,0.83906,0.58443,1.15436,0.00094555,0.00094555,0.00094555
13,5273.18,0.89125,0.63553,1.15705,0.95118,0.95043,0.97698,0.75747,0.85776,0.58574,1.15922,0.0009406,0.0009406,0.0009406
14,5627.17,0.88496,0.62657,1.15474,0.95097,0.95185,0.97901,0.7675,0.82321,0.59528,1.14727,0.00093565,0.00093565,0.00093565
15,5981.53,0.87397,0.61178,1.14478,0.95399,0.95595,0.98016,0.77549,0.81569,0.57302,1.13877,0.0009307,0.0009307,0.0009307
16,6331.46,0.8642,0.60226,1.14012,0.95318,0.95367,0.97991,0.77031,0.81465,0.56882,1.13393,0.00092575,0.00092575,0.00092575
17,6682.91,0.85399,0.5962,1.13361,0.9588,0.95183,0.98087,0.77669,0.79768,0.56668,1.12218,0.0009208,0.0009208,0.0009208
18,7039.82,0.84216,0.58207,1.12561,0.95787,0.95238,0.98091,0.77134,0.81555,0.56558,1.13011,0.00091585,0.00091585,0.00091585
19,7395.32,0.83151,0.57122,1.12097,0.96123,0.95549,0.98167,0.77373,0.80573,0.56881,1.12488,0.0009109,0.0009109,0.0009109
20,7749.16,0.8272,0.56305,1.11432,0.96127,0.95667,0.98165,0.77243,0.80234,0.55918,1.12244,0.00090595,0.00090595,0.00090595
21,8102.68,0.81279,0.55286,1.10761,0.9634,0.95625,0.9822,0.77564,0.79094,0.55386,1.11707,0.000901,0.000901,0.000901
22,8456.12,0.81154,0.54551,1.10626,0.96202,0.95799,0.98182,0.76686,0.8165,0.56294,1.13428,0.00089605,0.00089605,0.00089605
23,8807.14,0.80853,0.53973,1.10788,0.96212,0.95999,0.98267,0.77449,0.79189,0.5404,1.11486,0.0008911,0.0008911,0.0008911
24,9155.72,0.79762,0.52911,1.0983,0.96031,0.95303,0.98037,0.7585,0.83677,0.55992,1.12682,0.00088615,0.00088615,0.00088615
25,9499.84,0.79447,0.52433,1.09709,0.96227,0.95885,0.98314,0.77167,0.78922,0.55103,1.11386,0.0008812,0.0008812,0.0008812
26,9852.88,0.78393,0.51523,1.08992,0.96429,0.95721,0.98298,0.77534,0.78644,0.54393,1.10831,0.00087625,0.00087625,0.00087625
27,10205,0.78347,0.51022,1.09125,0.96117,0.954,0.98293,0.77155,0.79136,0.55474,1.11217,0.0008713,0.0008713,0.0008713
28,10557.7,0.77947,0.50289,1.08796,0.96109,0.95055,0.98139,0.77024,0.80346,0.54614,1.10744,0.00086635,0.00086635,0.00086635
29,10910.4,0.76798,0.49252,1.07689,0.96874,0.94448,0.98222,0.76697,0.81911,0.55373,1.12382,0.0008614,0.0008614,0.0008614
30,11256.8,0.7675,0.4885,1.08113,0.96754,0.94535,0.98353,0.7676,0.81664,0.56113,1.12147,0.00085645,0.00085645,0.00085645
31,11606.3,0.7646,0.48564,1.07639,0.97063,0.94185,0.98223,0.7594,0.83733,0.55452,1.13204,0.0008515,0.0008515,0.0008515
32,11957.8,0.7649,0.47888,1.07826,0.9654,0.95103,0.98323,0.7768,0.80601,0.53333,1.11178,0.00084655,0.00084655,0.00084655
33,12306.4,0.75419,0.47218,1.07336,0.9708,0.94088,0.98263,0.77864,0.803,0.55957,1.10961,0.0008416,0.0008416,0.0008416
34,12662.2,0.75283,0.4673,1.07147,0.97376,0.94282,0.98323,0.77038,0.80893,0.55088,1.11182,0.00083665,0.00083665,0.00083665
35,13034.4,0.74736,0.46393,1.06706,0.977,0.937,0.98195,0.78262,0.78681,0.53748,1.09853,0.0008317,0.0008317,0.0008317
36,13483.6,0.73847,0.45884,1.05993,0.98011,0.93382,0.98068,0.77238,0.80525,0.54251,1.1072,0.00082675,0.00082675,0.00082675
37,13973.5,0.73635,0.45358,1.06473,0.97727,0.93531,0.98108,0.77172,0.80864,0.53104,1.11272,0.0008218,0.0008218,0.0008218
38,14437.5,0.73539,0.45108,1.06077,0.98309,0.92502,0.97719,0.76139,0.82606,0.54886,1.12027,0.00081685,0.00081685,0.00081685
39,14896.5,0.73806,0.44804,1.06289,0.98387,0.927,0.97624,0.75147,0.84284,0.55022,1.13442,0.0008119,0.0008119,0.0008119
40,15299.5,0.72647,0.44053,1.05901,0.98487,0.92785,0.97739,0.76094,0.82288,0.52976,1.11757,0.00080695,0.00080695,0.00080695
41,15788.6,0.71538,0.43239,1.0505,0.98341,0.92725,0.97749,0.76511,0.80925,0.53484,1.10665,0.000802,0.000802,0.000802
42,16292.8,0.72076,0.43426,1.05482,0.98465,0.93006,0.97864,0.76693,0.80194,0.52793,1.10477,0.00079705,0.00079705,0.00079705
43,16896.5,0.71732,0.43037,1.05243,0.98735,0.92663,0.97759,0.76278,0.80899,0.53444,1.11093,0.0007921,0.0007921,0.0007921
44,17359.3,0.71521,0.42535,1.05241,0.98535,0.93717,0.97956,0.76166,0.81129,0.52352,1.1112,0.00078715,0.00078715,0.00078715
45,17849.6,0.71266,0.42355,1.05312,0.98837,0.92692,0.97595,0.75739,0.81611,0.53304,1.11297,0.0007822,0.0007822,0.0007822
46,18333.5,0.71317,0.42117,1.05223,0.98905,0.92942,0.97783,0.76374,0.80957,0.52022,1.11252,0.00077725,0.00077725,0.00077725
47,18739,0.70649,0.41585,1.04905,0.9889,0.93822,0.97973,0.76167,0.82031,0.51619,1.11855,0.0007723,0.0007723,0.0007723
48,19293.9,0.7024,0.41176,1.04105,0.98414,0.93827,0.97833,0.76664,0.795,0.5079,1.09799,0.00076735,0.00076735,0.00076735
49,19843.9,0.69638,0.40887,1.03759,0.98324,0.94274,0.98176,0.77186,0.80714,0.50198,1.10701,0.0007624,0.0007624,0.0007624
50,20470.8,0.69523,0.40808,1.04155,0.98335,0.94844,0.9826,0.76914,0.80264,0.49479,1.1031,0.00075745,0.00075745,0.00075745
51,21093.9,0.69901,0.40753,1.0408,0.9835,0.95293,0.9833,0.77214,0.80235,0.49522,1.10313,0.0007525,0.0007525,0.0007525
52,21713.7,0.69651,0.40549,1.04399,0.98793,0.94312,0.98189,0.76814,0.80841,0.50583,1.10988,0.00074755,0.00074755,0.00074755
53,22312.4,0.6898,0.39767,1.04052,0.98948,0.93853,0.97962,0.7649,0.81521,0.51875,1.11011,0.0007426,0.0007426,0.0007426
54,23009.1,0.6886,0.3988,1.03849,0.98871,0.94387,0.98157,0.77111,0.79011,0.49986,1.09684,0.00073765,0.00073765,0.00073765
55,23645.2,0.68734,0.39586,1.0373,0.98255,0.95618,0.9828,0.77205,0.79978,0.48045,1.10093,0.0007327,0.0007327,0.0007327
56,24071,0.68759,0.39533,1.03762,0.98525,0.96654,0.98415,0.77807,0.7939,0.47926,1.09952,0.00072775,0.00072775,0.00072775
57,24430.9,0.68394,0.39069,1.03305,0.98956,0.96285,0.98388,0.77857,0.80172,0.47364,1.1037,0.0007228,0.0007228,0.0007228
58,24786.1,0.67898,0.38838,1.03418,0.98673,0.96902,0.98441,0.77998,0.79996,0.46719,1.10055,0.00071785,0.00071785,0.00071785
59,25141.9,0.67625,0.38601,1.03125,0.98675,0.96641,0.98436,0.7768,0.81381,0.4722,1.10916,0.0007129,0.0007129,0.0007129
60,25497.1,0.67068,0.38375,1.02973,0.98529,0.97236,0.98589,0.77732,0.81875,0.45944,1.11433,0.00070795,0.00070795,0.00070795
61,25852.9,0.66332,0.37814,1.02509,0.98259,0.97274,0.98639,0.78137,0.80088,0.45053,1.10303,0.000703,0.000703,0.000703
